"rules";"support";"confidence";"coverage";"lift";"count"
"{herbs} => {other vegetables}";0.00772750381291307;0.475;0.016268429079817;2.45487388334209;76
"{herbs} => {whole milk}";0.00772750381291307;0.475;0.016268429079817;1.85898328690808;76
"{detergent} => {whole milk}";0.00894763599389934;0.465608465608466;0.0192170818505338;1.82222811749274;88
"{baking powder} => {whole milk}";0.00925266903914591;0.522988505747126;0.017691916624301;2.04679345563987;91
"{flour} => {whole milk}";0.00843924758515506;0.485380116959064;0.0173868835790544;1.89960742152503;83
"{grapes} => {other vegetables}";0.0090493136756482;0.404545454545455;0.0223690899847483;2.09075383365977;89
"{cat food} => {whole milk}";0.00884595831215048;0.379912663755459;0.0232841891204881;1.48684482611816;87
"{specialty chocolate} => {whole milk}";0.00803253685815963;0.264214046822742;0.030401626842908;1.03404104675753;79
"{meat} => {other vegetables}";0.0099644128113879;0.385826771653543;0.0258261311642095;1.99401276889784;98
"{meat} => {whole milk}";0.0099644128113879;0.385826771653543;0.0258261311642095;1.50999056872766;98
"{frozen meals} => {whole milk}";0.00986273512963904;0.347670250896057;0.0283680732079309;1.36065933846507;97
"{hard cheese} => {other vegetables}";0.00945602440264362;0.385892116182573;0.0245043213014743;1.99435047958781;93
"{hard cheese} => {whole milk}";0.0100660904931368;0.410788381742739;0.0245043213014743;1.6076815497174;99
"{butter milk} => {yogurt}";0.00854092526690392;0.305454545454545;0.0279613624809354;2.18961038961039;84
"{butter milk} => {rolls/buns}";0.00762582613116421;0.272727272727273;0.0279613624809354;1.48273782602141;75
"{butter milk} => {other vegetables}";0.0103711235383833;0.370909090909091;0.0279613624809354;1.9169158744566;102
"{butter milk} => {whole milk}";0.0115912557193696;0.414545454545455;0.0279613624809354;1.62238541402887;114
"{candy} => {soda}";0.00864260294865277;0.289115646258503;0.0298932384341637;1.65798972650285;85
"{candy} => {whole milk}";0.00823589222165735;0.275510204081633;0.0298932384341637;1.07825024160082;81
"{ham} => {other vegetables}";0.00915099135739705;0.3515625;0.0260294865277072;1.81692968339464;90
"{ham} => {whole milk}";0.0114895780376207;0.44140625;0.0260294865277072;1.72750913997214;113
"{sliced cheese} => {yogurt}";0.00803253685815963;0.327800829875519;0.0245043213014743;2.3497967651791;79
"{sliced cheese} => {rolls/buns}";0.00762582613116421;0.311203319502075;0.0245043213014743;1.69192075583356;75
"{sliced cheese} => {other vegetables}";0.0090493136756482;0.369294605809129;0.0245043213014743;1.90857196433672;89
"{sliced cheese} => {whole milk}";0.0107778342653787;0.439834024896266;0.0245043213014743;1.72135600272772;106
"{oil} => {other vegetables}";0.0099644128113879;0.355072463768116;0.0280630401626843;1.83506972210164;98
"{oil} => {whole milk}";0.011286222674123;0.402173913043478;0.0280630401626843;1.57396754269105;111
"{onions} => {root vegetables}";0.00945602440264362;0.304918032786885;0.0310116929334011;2.79745228774162;93
"{onions} => {other vegetables}";0.0142348754448399;0.459016393442623;0.0310116929334011;2.37226811850142;140
"{onions} => {whole milk}";0.0120996441281139;0.390163934426229;0.0310116929334011;1.52696470158455;119
"{berries} => {whipped/sour cream}";0.0090493136756482;0.27217125382263;0.033248601931876;3.7968855054547;89
"{berries} => {yogurt}";0.010574478901881;0.318042813455657;0.033248601931876;2.27984771890408;104
"{berries} => {other vegetables}";0.0102694458566345;0.308868501529052;0.033248601931876;1.59628045850669;101
"{berries} => {whole milk}";0.0117946110828673;0.35474006116208;0.033248601931876;1.38832809452012;116
"{hamburger meat} => {rolls/buns}";0.00864260294865277;0.259938837920489;0.033248601931876;1.41321087393478;85
"{hamburger meat} => {other vegetables}";0.0138281647178444;0.415902140672783;0.033248601931876;2.14944695402881;136
"{hamburger meat} => {whole milk}";0.0147432638535841;0.443425076452599;0.033248601931876;1.73541011815015;145
"{hygiene articles} => {other vegetables}";0.00955770208439248;0.290123456790123;0.0329435688866294;1.49940315161895;94
"{hygiene articles} => {whole milk}";0.0128113879003559;0.388888888888889;0.0329435688866294;1.52197462086041;126
"{salty snack} => {other vegetables}";0.0107778342653787;0.28494623655914;0.0378240976105745;1.47264647218032;106
"{salty snack} => {whole milk}";0.0111845449923742;0.295698924731183;0.0378240976105745;1.15726180848833;110
"{sugar} => {other vegetables}";0.0107778342653787;0.318318318318318;0.0338586680223691;1.64511858153477;106
"{sugar} => {whole milk}";0.0150482968988307;0.444444444444444;0.0338586680223691;1.73939956669762;148
